Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
SVC,0.7764,0.7774526127049181,0.7774526127049181,0.7761225956131182,12.299662828445435
NuSVC,0.7748,0.775640368852459,0.7756403688524591,0.774650751346082,11.430728912353516
LogisticRegression,0.7596,0.7603355532786886,0.7603355532786885,0.7594914763694065,0.30273008346557617
CalibratedClassifierCV,0.7584,0.7593365778688524,0.7593365778688523,0.7581747700124982,4.2646870613098145
LinearSVC,0.7564,0.7572681864754098,0.7572681864754098,0.7562157787123027,1.093350887298584
LinearDiscriminantAnalysis,0.7536,0.7546298668032787,0.7546298668032786,0.7533016133442713,0.24709320068359375
RidgeClassifier,0.7536,0.7546298668032787,0.7546298668032786,0.7533016133442713,0.07991766929626465
RidgeClassifierCV,0.7536,0.7546106557377049,0.7546106557377049,0.7533159836065574,0.4097929000854492
LGBMClassifier,0.734,0.7347015881147541,0.7347015881147542,0.73389013785695,1.687450885772705
XGBClassifier,0.7292,0.7302446209016393,0.7302446209016394,0.7288477218599774,2.6620631217956543
Perceptron,0.7216,0.7214395491803278,0.7214395491803279,0.7216,0.11777591705322266
RandomForestClassifier,0.716,0.7172771516393442,0.7172771516393441,0.7153857639500794,9.844301223754883
QuadraticDiscriminantAnalysis,0.7132,0.7143506659836065,0.7143506659836065,0.712715467841413,0.3978440761566162
ExtraTreesClassifier,0.7128,0.7138447745901639,0.7138447745901639,0.71241759664816,1.7603349685668945
PassiveAggressiveClassifier,0.7052,0.7050204918032787,0.7050204918032787,0.7051971210379812,0.18578290939331055
AdaBoostClassifier,0.6916,0.6919889856557377,0.6919889856557377,0.6916029112964658,17.97114396095276
NearestCentroid,0.6904,0.691547131147541,0.6915471311475412,0.6898662749466841,0.08042192459106445
BernoulliNB,0.6864,0.6876216700819673,0.6876216700819673,0.685769243732263,0.13816404342651367
GaussianNB,0.686,0.6868468237704919,0.6868468237704919,0.6857472537093511,0.08411693572998047
SGDClassifier,0.686,0.6862704918032787,0.6862704918032787,0.6860306974700595,0.6728079319000244
KNeighborsClassifier,0.6764,0.6761270491803278,0.676127049180328,0.676367822592538,0.23667001724243164
BaggingClassifier,0.674,0.6729956454918034,0.6729956454918032,0.6733549580789777,26.020793199539185
DecisionTreeClassifier,0.6212,0.6215868340163935,0.6215868340163935,0.6211885450715049,3.7093007564544678
ExtraTreeClassifier,0.5812,0.5813716700819672,0.5813716700819672,0.5812489851130717,0.07614588737487793
LabelPropagation,0.5216,0.5098552766393443,0.5098552766393443,0.36846279239009694,1.0228071212768555
LabelSpreading,0.5216,0.5098552766393443,0.5098552766393443,0.36846279239009694,1.0652549266815186
DummyClassifier,0.488,0.5,0.5,0.3200860215053763,0.060112953186035156
