Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.7836,0.7841764856557377,0.7841764856557377,0.7835671409354908,10.572829008102417
XGBClassifier,0.7804,0.7811475409836066,0.7811475409836066,0.7803008661011718,14.529231071472168
NuSVC,0.774,0.7750128073770493,0.7750128073770493,0.7737459791605533,61.734894037246704
SVC,0.77,0.7713947233606557,0.7713947233606557,0.7694198213871064,50.4784996509552
AdaBoostClassifier,0.7516,0.7518698770491803,0.7518698770491802,0.7516290542074665,47.78543782234192
RidgeClassifier,0.7464,0.7471375512295082,0.7471375512295083,0.7462805246811638,0.6991071701049805
LinearDiscriminantAnalysis,0.7464,0.7471375512295082,0.7471375512295083,0.7462805246811638,4.678822040557861
RidgeClassifierCV,0.746,0.7467277151639344,0.7467277151639345,0.7458853369294062,9.281988859176636
CalibratedClassifierCV,0.7376,0.7383709016393443,0.7383709016393443,0.7374548732025072,476.5832772254944
LogisticRegression,0.736,0.7362320696721312,0.7362320696721312,0.7360337941628264,1.9496939182281494
RandomForestClassifier,0.732,0.7328829405737705,0.7328829405737705,0.7317776281048245,15.526721954345703
LinearSVC,0.7324,0.7326588114754098,0.7326588114754099,0.7324312999433094,10.881191968917847
PassiveAggressiveClassifier,0.7308,0.731077100409836,0.7310771004098361,0.7308290746466872,1.8775050640106201
Perceptron,0.7244,0.7247310450819673,0.7247310450819673,0.7244202403263147,1.3304119110107422
SGDClassifier,0.724,0.7242059426229508,0.7242059426229508,0.7240369206191328,3.302927017211914
ExtraTreesClassifier,0.7144,0.7150422643442622,0.7150422643442622,0.7143078683731494,5.209258079528809
BernoulliNB,0.7036,0.704111168032787,0.704111168032787,0.7035629611389276,0.6527140140533447
NearestCentroid,0.7036,0.7038037909836066,0.7038037909836066,0.7036388429967619,0.5718600749969482
QuadraticDiscriminantAnalysis,0.6928,0.6962730532786885,0.6962730532786885,0.6867235604138201,16.153597831726074
BaggingClassifier,0.6944,0.6937435963114754,0.6937435963114754,0.6941305503454689,81.27068018913269
GaussianNB,0.6712,0.6698962602459017,0.6698962602459015,0.6701206054197572,0.5385761260986328
KNeighborsClassifier,0.6396,0.6367699795081967,0.6367699795081967,0.6342631354930706,1.2943360805511475
DecisionTreeClassifier,0.6348,0.6352715163934426,0.6352715163934426,0.6347543637244817,13.075100898742676
ExtraTreeClassifier,0.576,0.5765432889344262,0.5765432889344263,0.5758776071618986,0.4142608642578125
LabelSpreading,0.5216,0.5098360655737705,0.5098360655737705,0.3677965681490537,3.3045718669891357
LabelPropagation,0.5216,0.5098360655737705,0.5098360655737705,0.3677965681490537,2.992771863937378
DummyClassifier,0.488,0.5,0.5,0.3200860215053763,0.428098201751709
