Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NuSVC,0.7788,0.779469774590164,0.779469774590164,0.7787324309529559,39.88719320297241
SVC,0.7716,0.7724193135245901,0.7724193135245901,0.7714588692704256,35.32123613357544
RidgeClassifier,0.7676,0.7678790983606557,0.7678790983606558,0.7676271827609309,0.3947877883911133
RidgeClassifierCV,0.7676,0.7678598872950819,0.767859887295082,0.7676289680091921,5.6273040771484375
LinearDiscriminantAnalysis,0.7668,0.7670978483606556,0.7670978483606558,0.7668251865067143,2.6727449893951416
PassiveAggressiveClassifier,0.7644,0.7642930327868853,0.7642930327868852,0.7644064493686398,1.9691030979156494
Perceptron,0.76,0.759938524590164,0.7599385245901639,0.7600159813141557,1.0768280029296875
LogisticRegression,0.76,0.7598616803278688,0.7598616803278688,0.76,1.1718688011169434
CalibratedClassifierCV,0.7596,0.7597592213114754,0.7597592213114754,0.7596345837895948,435.76285004615784
LGBMClassifier,0.742,0.7425717213114754,0.7425717213114753,0.7419535583280998,6.172016859054565
SGDClassifier,0.742,0.7417648565573771,0.7417648565573771,0.7419743455774871,2.3752329349517822
XGBClassifier,0.7352,0.7358158299180328,0.7358158299180328,0.7351322068612391,11.723773002624512
LinearSVC,0.7296,0.7291367827868853,0.7291367827868852,0.7294724580616053,28.56510305404663
RandomForestClassifier,0.724,0.7248783299180328,0.7248783299180327,0.7237709901378043,21.81991410255432
QuadraticDiscriminantAnalysis,0.7132,0.7160220286885246,0.7160220286885245,0.7095814613837823,11.202654123306274
ExtraTreesClassifier,0.714,0.714670850409836,0.7146708504098361,0.7138924972208759,3.932166814804077
AdaBoostClassifier,0.704,0.7041175717213115,0.7041175717213115,0.70404263013874,74.50863218307495
NearestCentroid,0.68,0.6808145491803279,0.6808145491803278,0.6797656362034703,0.34318995475769043
BernoulliNB,0.6784,0.6789830942622951,0.6789830942622952,0.6783176651305683,0.5145721435546875
GaussianNB,0.6756,0.6768058401639344,0.6768058401639344,0.6749595428315133,0.3715190887451172
BaggingClassifier,0.6616,0.6602715163934426,0.6602715163934426,0.6604569648760211,124.65789008140564
KNeighborsClassifier,0.648,0.6470863217213114,0.6470863217213114,0.6474399217977279,1.0854358673095703
DecisionTreeClassifier,0.6084,0.608203125,0.6082031250000001,0.608410719748554,22.048402786254883
ExtraTreeClassifier,0.5904,0.5906442110655737,0.5906442110655737,0.5904327685242965,0.28014707565307617
LabelSpreading,0.5212,0.5094454405737705,0.5094454405737705,0.36760167487526674,3.8383963108062744
LabelPropagation,0.5212,0.5094454405737705,0.5094454405737705,0.36760167487526674,2.420649766921997
DummyClassifier,0.488,0.5,0.5,0.3200860215053763,0.23793673515319824
