Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NuSVC,0.7904,0.7909131659836066,0.7909131659836066,0.7903867196675054,40.69734311103821
LogisticRegression,0.782,0.781595799180328,0.781595799180328,0.7819098604807788,1.1863317489624023
SVC,0.7784,0.7791175717213115,0.7791175717213116,0.7783126254557372,35.07495975494385
RidgeClassifier,0.7788,0.7790087090163934,0.7790087090163933,0.7788309710971097,0.38876891136169434
LinearDiscriminantAnalysis,0.778,0.7782274590163935,0.7782274590163935,0.778030230078674,2.5589449405670166
RidgeClassifierCV,0.7776,0.7778176229508197,0.7778176229508197,0.7776307474096813,5.604053020477295
CalibratedClassifierCV,0.7744,0.7745005122950819,0.774500512295082,0.774431193412266,479.1508889198303
Perceptron,0.7664,0.7663806352459017,0.7663806352459017,0.766421536515221,0.7599258422851562
PassiveAggressiveClassifier,0.7652,0.7650742827868853,0.7650742827868852,0.7652022177471964,2.3571109771728516
LGBMClassifier,0.7628,0.7634029200819672,0.7634029200819672,0.762750318534729,6.187344789505005
LinearSVC,0.7632,0.7628714139344263,0.7628714139344264,0.7631393170606701,56.57072305679321
SGDClassifier,0.7536,0.753265881147541,0.753265881147541,0.7535368569415081,2.921928882598877
XGBClassifier,0.7528,0.7532146516393443,0.7532146516393442,0.7528045880349363,12.502059936523438
RandomForestClassifier,0.7388,0.7396388319672131,0.7396388319672131,0.7386148484567675,22.196319103240967
AdaBoostClassifier,0.7248,0.7256019467213115,0.7256019467213114,0.7246238268996864,75.03994488716125
ExtraTreesClassifier,0.7208,0.7215996413934427,0.7215996413934426,0.7206212662441585,3.910349130630493
QuadraticDiscriminantAnalysis,0.7168,0.7187307889344263,0.7187307889344263,0.7152330145560604,11.387532949447632
NearestCentroid,0.6908,0.6915343237704918,0.6915343237704917,0.6906354733527772,0.34783411026000977
BaggingClassifier,0.688,0.6869556864754098,0.6869556864754098,0.6873236451224407,144.92891597747803
GaussianNB,0.6828,0.684202100409836,0.684202100409836,0.6819191678120203,0.3239560127258301
BernoulliNB,0.6832,0.6837474385245901,0.6837474385245902,0.6831383608672611,0.5392241477966309
KNeighborsClassifier,0.6716,0.6715356045081967,0.6715356045081967,0.6716321157349854,0.9451878070831299
DecisionTreeClassifier,0.6296,0.6296746926229508,0.6296746926229508,0.6296533452817206,18.615313053131104
ExtraTreeClassifier,0.5932,0.5932633196721311,0.5932633196721312,0.5932585219867186,0.28283023834228516
LabelSpreading,0.5216,0.5098360655737705,0.5098360655737705,0.3677965681490537,2.224216938018799
LabelPropagation,0.5216,0.5098360655737705,0.5098360655737705,0.3677965681490537,2.096458911895752
DummyClassifier,0.488,0.5,0.5,0.3200860215053763,0.26630187034606934
