Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
PassiveAggressiveClassifier,0.792,0.7981366459627328,0.7981366459627329,0.7923995901639344,1.331543207168579
LGBMClassifier,0.784,0.7959368530020704,0.7959368530020704,0.7830590044205267,30.564581871032715
CalibratedClassifierCV,0.776,0.7920548654244306,0.7920548654244305,0.7731466803911476,5.175452947616577
LogisticRegression,0.784,0.7875258799171843,0.7875258799171843,0.7845819488100584,0.8146669864654541
RidgeClassifierCV,0.776,0.7819616977225673,0.7819616977225673,0.7764303278688524,0.9785280227661133
RidgeClassifier,0.776,0.7819616977225673,0.7819616977225673,0.7764303278688524,0.7979509830474854
SGDClassifier,0.776,0.78027950310559,0.7802795031055899,0.776574358974359,0.9215879440307617
Perceptron,0.776,0.78027950310559,0.7802795031055899,0.776574358974359,0.9496798515319824
AdaBoostClassifier,0.768,0.7797619047619048,0.7797619047619049,0.7669893010442694,89.4114100933075
LinearSVC,0.768,0.7747153209109732,0.7747153209109732,0.7683267396453491,2.1239302158355713
XGBClassifier,0.76,0.7674689440993789,0.7674689440993789,0.760184331797235,99.195955991745
LinearDiscriminantAnalysis,0.744,0.7580227743271222,0.7580227743271222,0.741699024139702,2.5033469200134277
NearestCentroid,0.744,0.7563405797101449,0.7563405797101449,0.7425230769230768,0.8345310688018799
ExtraTreesClassifier,0.744,0.7563405797101449,0.7563405797101449,0.7425230769230768,1.5622599124908447
BernoulliNB,0.744,0.7529761904761905,0.7529761904761907,0.7437706093189964,0.930474042892456
NuSVC,0.72,0.739648033126294,0.739648033126294,0.7131401905502626,3.8888020515441895
SVC,0.688,0.7123447204968945,0.7123447204968945,0.6744748768472907,3.9586102962493896
DecisionTreeClassifier,0.704,0.7049689440993789,0.7049689440993789,0.7047608765503501,8.34059190750122
BaggingClassifier,0.696,0.692675983436853,0.6926759834368529,0.696,46.81524991989136
RandomForestClassifier,0.68,0.6916407867494825,0.6916407867494824,0.6781538461538462,3.411717176437378
GaussianNB,0.672,0.6877587991718427,0.6877587991718426,0.6671407407407407,0.7418618202209473
ExtraTreeClassifier,0.584,0.5794513457556936,0.5794513457556936,0.584,0.6768529415130615
KNeighborsClassifier,0.592,0.5530538302277432,0.5530538302277433,0.5209234400818318,1.1625099182128906
DummyClassifier,0.448,0.5,0.5,0.27721546961325966,0.703787088394165
QuadraticDiscriminantAnalysis,0.552,0.5,0.5,0.392659793814433,4.220560789108276
LabelPropagation,0.552,0.5,0.5,0.392659793814433,1.6746950149536133
LabelSpreading,0.552,0.5,0.5,0.392659793814433,1.4741930961608887
