Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
PassiveAggressiveClassifier,0.848,0.8480769230769231,0.8480769230769231,0.848038951886732,1.2672271728515625
LinearSVC,0.848,0.8467948717948718,0.8467948717948718,0.8477655677655678,3.63504695892334
CalibratedClassifierCV,0.848,0.8467948717948718,0.8467948717948718,0.8477655677655678,4.919289827346802
RidgeClassifierCV,0.848,0.8467948717948718,0.8467948717948718,0.8477655677655678,0.9645400047302246
RidgeClassifier,0.848,0.8467948717948718,0.8467948717948718,0.8477655677655678,0.7992520332336426
SGDClassifier,0.808,0.8102564102564103,0.8102564102564103,0.807704918032787,0.9922981262207031
LogisticRegression,0.808,0.8076923076923077,0.8076923076923077,0.808,0.8149137496948242
Perceptron,0.8,0.801923076923077,0.801923076923077,0.799820754113053,0.9575321674346924
LGBMClassifier,0.8,0.8,0.8,0.8000512524825422,37.24551510810852
XGBClassifier,0.792,0.792948717948718,0.7929487179487179,0.7920532514080901,78.85104823112488
AdaBoostClassifier,0.792,0.7903846153846155,0.7903846153846154,0.7915182707153886,88.97413301467896
RandomForestClassifier,0.784,0.7833333333333334,0.7833333333333333,0.783916864455706,3.313208818435669
NearestCentroid,0.776,0.7769230769230769,0.7769230769230769,0.7760573476702509,0.8007938861846924
NuSVC,0.768,0.7730769230769231,0.773076923076923,0.7649428331503134,3.874645948410034
LinearDiscriminantAnalysis,0.768,0.7705128205128206,0.7705128205128206,0.7674649240822603,2.6084840297698975
BernoulliNB,0.76,0.7621794871794871,0.7621794871794871,0.7596311475409836,0.9530398845672607
ExtraTreesClassifier,0.76,0.7589743589743589,0.758974358974359,0.7597842835130971,1.5748319625854492
GaussianNB,0.736,0.7378205128205129,0.7378205128205128,0.7357633954292299,0.7689149379730225
SVC,0.72,0.7262820512820513,0.7262820512820513,0.7138785867655669,4.116925954818726
BaggingClassifier,0.712,0.7096153846153846,0.7096153846153845,0.7107739938080496,45.51699209213257
DecisionTreeClassifier,0.704,0.7038461538461538,0.7038461538461538,0.7040758536741624,10.414129972457886
KNeighborsClassifier,0.64,0.6307692307692307,0.6307692307692307,0.6186973494966098,1.1742069721221924
ExtraTreeClassifier,0.592,0.5903846153846154,0.5903846153846154,0.5913707345286293,0.7037351131439209
QuadraticDiscriminantAnalysis,0.576,0.5769230769230769,0.576923076923077,0.576,5.269776105880737
DummyClassifier,0.48,0.5,0.5,0.31135135135135134,0.7275402545928955
LabelPropagation,0.52,0.5,0.5,0.35578947368421054,1.5707650184631348
LabelSpreading,0.52,0.5,0.5,0.35578947368421054,1.4914569854736328
