Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.776,0.7817807514153371,0.7817807514153371,0.775483606557377,32.84114408493042
NearestCentroid,0.776,0.7817807514153371,0.7817807514153371,0.775483606557377,0.9154062271118164
BernoulliNB,0.768,0.7731600617601647,0.7731600617601647,0.7676732603546508,1.0117523670196533
RandomForestClassifier,0.752,0.7582346886258364,0.7582346886258363,0.7511738099814209,3.491908073425293
LogisticRegression,0.752,0.7570766855378281,0.7570766855378281,0.751650726586006,0.986037015914917
PassiveAggressiveClassifier,0.752,0.7547606793618116,0.7547606793618118,0.7522222648998144,1.4918720722198486
RidgeClassifierCV,0.744,0.7472979927946475,0.7472979927946475,0.7441310803891449,0.9747719764709473
RidgeClassifier,0.744,0.7472979927946475,0.7472979927946475,0.7441310803891449,0.8016340732574463
ExtraTreesClassifier,0.736,0.7456253216675244,0.7456253216675244,0.7327690821256039,1.6635768413543701
XGBClassifier,0.736,0.7409933093154915,0.7409933093154915,0.7356281928173612,91.37856101989746
LinearSVC,0.736,0.7386773031394751,0.7386773031394751,0.7362366045707701,2.6549599170684814
NuSVC,0.712,0.7255532681420485,0.7255532681420483,0.7036995305164319,4.599102973937988
CalibratedClassifierCV,0.712,0.7220792588780236,0.7220792588780236,0.7079133126934984,5.60748291015625
SVC,0.704,0.7215645908389089,0.721564590838909,0.6884220878463686,4.220160007476807
AdaBoostClassifier,0.72,0.720277920741122,0.7202779207411221,0.7203233048944769,101.39907193183899
BaggingClassifier,0.72,0.7191199176531138,0.7191199176531137,0.7201439496176337,53.81798195838928
LinearDiscriminantAnalysis,0.704,0.7111425630468348,0.7111425630468349,0.7022911027006222,3.3418569564819336
Perceptron,0.704,0.70766855378281,0.7076685537828101,0.704,1.0411708354949951
SGDClassifier,0.704,0.70766855378281,0.7076685537828101,0.704,1.0397820472717285
GaussianNB,0.656,0.6617344312918167,0.6617344312918167,0.6548539944903581,0.8088252544403076
DecisionTreeClassifier,0.648,0.6542717447246527,0.6542717447246527,0.6464205128205128,10.391746044158936
ExtraTreeClassifier,0.648,0.6496397323726197,0.6496397323726197,0.648405737704918,0.7526471614837646
KNeighborsClassifier,0.616,0.6070509521358723,0.6070509521358723,0.6096269757639621,1.173738956451416
LabelSpreading,0.536,0.5,0.5,0.3740833333333333,1.7318603992462158
LabelPropagation,0.536,0.5,0.5,0.3740833333333333,1.59983491897583
DummyClassifier,0.464,0.5,0.5,0.294120218579235,0.7101666927337646
QuadraticDiscriminantAnalysis,0.464,0.4641019042717447,0.4641019042717447,0.4646867832660645,4.514255046844482
